level,character,meaning,sound
7,家 ,집,가
7,歌 ,노래,가
5,價 ,값,가
5,可 ,옳을,가
5,加 ,더할,가
4,街 ,거리,가
4,假 ,거짓/빌릴,가
4,暇 ,겨를,가
3,佳,아름다울,가
3,架,시렁,가
6,角 ,뿔,각
6,各 ,각각,각
4,覺 ,깨달을,각
4,刻 ,새길,각
3,閣,집,각
3,脚,다리,각
3,却,물리칠,각
7,間 ,사이,간
4,簡 ,대쪽/간략할,간
4,看 ,볼,간
4,干 ,방패/막을,간
3,肝,간,간
3,幹,줄기,간
3,刊,새길,간
3,懇,간절할,간
3,姦,간음할,간
3,渴,목마를,갈
6,感 ,느낄,감
4,監 ,볼,감
4,減 ,덜,감
4,甘 ,달,감
4,敢 ,감히,감
3,鑑,거울,감
4,甲 ,첫째천간/갑옷,갑
7,江 ,강,강
6,強 ,강할,강
4,康 ,편안할,강
4,講 ,외울,강
3,綱,벼리,강
3,剛,굳셀,강
3,鋼,강철,강
4,降 ,내릴/항복할,강/항
6,開 ,열,개
5,改 ,고칠,개
4,個 ,낱,개
3,蓋,덮을,개
3,介,낄,개
3,槪,대개,개
3,皆,다,개
3,慨,슬퍼할,개
5,客 ,손,객
4,更 ,다시/고칠,갱/경
5,擧 ,들,거
5,去 ,갈,거
4,居 ,살,거
4,巨 ,클,거
4,據 ,근거,거
4,拒 ,막을,거
3,距,떨어질,거
7,車 ,수레,거/차
5,建 ,세울,건
5,健 ,굳셀,건
5,件 ,물건,건
3,乾,하늘/마를,건
4,傑 ,뛰어날,걸
3,乞,빌,걸
4,檢 ,검사할,검
4,儉 ,검소할,검
3,劍,칼,검
5,格 ,격식,격
4,擊 ,칠,격
4,激 ,격할,격
3,隔,사이 뜰,격
4,犬 ,개,견
4,堅 ,굳을,견
3,絹,비단,견
3,遣,보낼,견
3,牽,이끌,견
3,肩,어깨,견
5,見 ,볼/뵈올,견/현
5,決 ,결단할,결
5,結 ,맺을,결
4,缺 ,이지러질,결
4,潔 ,깨끗할,결
3,訣,이별할,결
3,兼,겸할,겸
3,謙,겸손할,겸
6,京 ,서울,경
5,景 ,볕,경
5,敬 ,공경할,경
5,輕 ,가벼울,경
5,競 ,다툴,경
4,警 ,경계할,경
4,經 ,글/지날,경
4,境 ,지경,경
4,慶 ,경사,경
4,鏡 ,거울,경
4,傾 ,기울,경
4,驚 ,놀랄,경
3,徑,지름길,경
3,硬,굳을,경
3,耕,밭 갈,경
3,頃,이랑/잠깐,경
3,卿,벼슬,경
3,庚,일곱째천간/별,경
3,竟,마침내,경
6,計 ,셀,계
6,界 ,지경,계
4,係 ,멜,계
4,鷄 ,닭,계
4,系 ,이을,계
4,階 ,섬돌,계
4,繼 ,이을,계
4,季 ,철,계
4,戒 ,경계할,계
3,械,기계,계
3,啓,열,계
3,桂,계수나무,계
3,契,맺을,계
3,溪,시내,계
3,癸,열째천간/북방,계
3,繫,맬,계
6,古 ,예,고
6,高 ,높을,고
6,苦 ,쓸,고
5,考 ,생각,고
5,告 ,고할,고
5,固 ,굳을,고
4,故 ,예,고
4,庫 ,창고,고
4,孤 ,외로울,고
3,稿,볏짚,고
3,姑,시어미/잠시,고
3,鼓,북,고
3,顧,돌아볼,고
3,枯,마를,고
5,曲 ,굽을/가락,곡
4,穀 ,곡식,곡
3,哭,울,곡
3,谷,골,곡
4,困 ,곤할,곤
3,坤,땅,곤
4,骨 ,뼈,골
7,工 ,만들,공
7,空 ,빌,공
6,功 ,공적,공
6,共 ,함께,공
6,公 ,공평할,공
4,孔 ,구멍,공
4,攻 ,칠,공
3,供,이바지할,공
3,恐,두려울,공
3,貢,바칠,공
3,恭,공손할,공
6,科 ,과목,과
6,果 ,열매,과
5,過 ,지날,과
5,課 ,과정,과
3,寡,적을,과
3,誇,자랑할,과
3,郭,둘레,곽
5,關 ,관계할,관
5,觀 ,볼,관
4,官 ,벼슬,관
4,管 ,대롱/주관할,관
3,冠,갓,관
3,寬,너그러울,관
3,慣,익숙할,관
3,貫,꿸,관
3,館,집,관
6,光 ,빛,광
5,廣 ,넓을,광
4,鑛 ,쇳돌,광
3,狂,미칠,광
3,掛,걸,괘
3,壞,무너질,괴
3,怪,괴이할,괴
3,塊,흙덩이,괴
3,愧,부끄러워할,괴
8,校,학교,교
8,敎,가르칠,교
6,交 ,사귈,교
5,橋 ,다리,교
3,較,견줄,교
3,巧,공교로울,교
3,矯,바로잡을,교
3,郊,들,교
8,九,아홉,구
7,口 ,입,구
6,球 ,공,구
6,區 ,구분할,구
5,救 ,구원할,구
5,舊 ,예,구
5,具 ,갖출,구
4,究 ,연구할,구
4,求 ,구할,구
4,構 ,얽을,구
3,丘,언덕,구
3,久,오랠,구
3,拘,잡을,구
3,俱,함께,구
3,狗,개,구
3,懼,두려워할,구
3,苟,진실로/구차할,구
3,驅,몰,구
4,句 ,글귀,구/귀
8,國,나라,국
5,局 ,판,국
3,菊,국화,국
8,軍,군사,군
6,郡 ,고을,군
4,君 ,임금,군
4,群 ,무리,군
4,屈 ,굽힐,굴
4,宮 ,집,궁
4,窮 ,다할,궁
3,弓,활,궁
4,權 ,권리,권
4,卷 ,책,권
4,券 ,문서,권
4,勸 ,권할,권
3,拳,주먹,권
3,厥,그,궐
3,軌,바퀴자국,궤
5,貴 ,귀할,귀
4,歸 ,돌아갈,귀
3,鬼,귀신,귀
3,龜,거북/땅이름/터질,귀/구/균
5,規 ,법,규
3,糾,얽을,규
3,叫,부르짖을,규
4,均 ,고를,균
3,菌,버섯/세균,균
4,極 ,다할,극
4,劇 ,연극/심할,극
3,克,이길,극
6,根 ,뿌리,근
6,近 ,가까울,근
4,筋 ,힘줄,근
4,勤 ,부지런할,근
3,斤,도끼,근
3,僅,겨우,근
3,謹,삼갈,근
6,今 ,이제,금
